 ,Center-line Temp (Numerical) (Tn),Center-line Temp (Theoretical) (Tt),Temp Difference = Tt – Tn
H = 0.0,100,100,0
H = 0.01,100.1635349468,100.1315630983,-0.0319718485
H = 0.02,100.3269422339,100.2631771486,-0.0637650854
H = 0.03,100.49019068,100.3948931006,-0.0952975794
H = 0.04,100.6532496776,100.5267619002,-0.1264877773
H = 0.05,100.8160893695,100.6588344868,-0.1572548827
H = 0.06,100.9786808239,100.7911617909,-0.187519033
H = 0.07,101.1409962078,100.9237947314,-0.2172014764
H = 0.08,101.3030089591,101.0567842122,-0.2462247468
H = 0.09,101.4646939565,101.1901811191,-0.2745128374
H = 0.1,101.6260276876,101.324036315,-0.3019913727
H = 0.11,101.7869884146,101.4584006354,-0.3285877791
H = 0.12,101.9475563368,101.5933248833,-0.3542314535
H = 0.13,102.1077137515,101.7288598221,-0.3788539293
H = 0.14,102.2674452107,101.8650561694,-0.4023890413
H = 0.15,102.4267376754,102.0019645882,-0.4247730873
H = 0.16,102.585580666,102.1396356782,-0.4459449878
H = 0.17,102.7439664088,102.2781199656,-0.4658464432
H = 0.18,102.9018899795,102.4174678916,-0.4844220879
H = 0.19,103.0593494413,102.5577297998,-0.5016196415
H = 0.2,103.2163459797,102.6989559219,-0.5173900578
H = 0.21,103.3728840317,102.8411963626,-0.5316876691
H = 0.22,103.5289714109,102.984501082,-0.5444703289
H = 0.23,103.684619427,103.1289198772,-0.5556995498
H = 0.24,103.8398429999,103.2745023617,-0.5653406382
H = 0.25,103.9946607682,103.4212979432,-0.573362825
H = 0.26,104.1490951916,103.5693557989,-0.5797393926
H = 0.27,104.3031726469,103.7187248499,-0.584447797
H = 0.28,104.4569235179,103.8694537321,-0.5874697857
H = 0.29,104.6103822771,104.021590766,-0.588791511
H = 0.3,104.7635875614,104.1751839236,-0.5884036378
H = 0.31,104.9165822392,104.3302807931,-0.5863014461
H = 0.32,105.0694134694,104.486928541,-0.5824849283
H = 0.33,105.2221327519,104.6451738719,-0.57695888
H = 0.34,105.3747959691,104.8050629853,-0.5697329838
H = 0.35,105.5274634174,104.9666415297,-0.5608218877
H = 0.36,105.6801998286,105.1299545544,-0.5502452742
H = 0.37,105.8330743808,105.2950464575,-0.5380279232
H = 0.38,105.9861606971,105.4619609321,-0.524199765
H = 0.39,106.1395368334,105.6307409083,-0.5087959251
H = 0.4,106.2932852518,105.8014284933,-0.4918567585
H = 0.41,106.4474927814,105.9740649074,-0.4734278739
H = 0.42,106.6022505642,106.1486904181,-0.4535601462
H = 0.43,106.7576539858,106.3253442695,-0.4323097163
H = 0.44,106.9138025891,106.5040646105,-0.4097379786
