 ,L = 0.0,L = 0.015,L = 0.03,L = 0.045,L = 0.06,L = 0.075,L = 0.09,L = 0.105,L = 0.12,L = 0.135,L = 0.15,L = 0.165,L = 0.18,L = 0.195,L = 0.21,L = 0.225,L = 0.24,L = 0.255,L = 0.27,L = 0.285,L = 0.3,L = 0.315,L = 0.33,L = 0.345,L = 0.36,L = 0.375,L = 0.39,L = 0.405,L = 0.42,L = 0.435,L = 0.45,L = 0.465,L = 0.48,L = 0.495,L = 0.51,L = 0.525,L = 0.54,L = 0.555,L = 0.57,L = 0.585,L = 0.6,L = 0.615,L = 0.63,L = 0.645,L = 0.66,L = 0.675,L = 0.69,L = 0.705,L = 0.72,L = 0.735,L = 0.75,L = 0.765,L = 0.78,L = 0.795,L = 0.81,L = 0.825,L = 0.84,L = 0.855,L = 0.87,L = 0.885,L = 0.9,L = 0.915,L = 0.93,L = 0.945,L = 0.96,L = 0.975,L = 0.99,L = 1.005,L = 1.02,L = 1.035,L = 1.05,L = 1.065,L = 1.08,L = 1.095,L = 1.11,L = 1.125,L = 1.14,L = 1.155,L = 1.17,L = 1.185,L = 1.2,L = 1.215,L = 1.23,L = 1.245,L = 1.26,L = 1.275,L = 1.29,L = 1.305,L = 1.32,L = 1.335,L = 1.35,L = 1.365,L = 1.38,L = 1.395,L = 1.41,L = 1.425,L = 1.44,L = 1.455,L = 1.47,L = 1.485,L = 1.5
H = 0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
H = 0.01,100.0,110.0,112.5,113.125,113.28125,113.3203125,113.330078125,113.33251953125,113.3331298828125,113.33328247070312,113.33332061767578,113.33333015441895,113.33333253860474,113.33333313465118,113.3333332836628,113.3333333209157,113.33333333022892,113.33333333255723,113.33333333313931,113.33333333328483,113.3333333333212,113.3333333333303,113.33333333333258,113.33333333333314,113.33333333333329,113.33333333333331,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,113.33333333333333,108.33333333333333,100.0
H = 0.02,100.0,112.5,116.25,117.34375,117.65625,117.744140625,117.7685546875,117.7752685546875,117.777099609375,117.77759552001953,117.77772903442383,117.7777647972107,117.77777433395386,117.77777686715126,117.77777753770351,117.7777777146548,117.77777776122093,117.77777777344454,117.77777777664596,117.7777777774827,117.77777777770098,117.77777777775782,117.7777777777726,117.77777777777644,117.77777777777743,117.77777777777769,117.77777777777776,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,117.77777777777777,111.52777777777777,100.0
H = 0.03,100.0,113.125,117.34375,118.671875,119.08203125,119.20654296875,119.2437744140625,119.2547607421875,119.25796508789062,119.25889015197754,119.25915479660034,119.25922989845276,119.25925105810165,119.25925698131323,119.25925862975419,119.25925908610225,119.2592592118308,119.25925924631883,119.2592592557412,119.25925925830597,119.25925925900174,119.25925925918989,119.25925925924062,119.25925925925426,119.25925925925793,119.2592592592589,119.25925925925917,119.25925925925924,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,119.25925925925925,112.69675925925925,100.0
H = 0.04,100.0,113.28125,117.65625,119.08203125,119.541015625,119.6868896484375,119.732666015625,119.74685668945312,119.75120544433594,119.75252389907837,119.75291967391968,119.75303739309311,119.75307211279869,119.75308227352798,119.75308522582054,119.7530860779807,119.75308632245287,119.75308639219293,119.75308641198353,119.75308641757238,119.75308641914353,119.75308641958335,119.753086419706,119.75308641974007,119.75308641974951,119.7530864197521,119.75308641975282,119.75308641975302,119.75308641975306,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,119.75308641975307,113.11246141975307,100.0
H = 0.05,100.0,113.3203125,117.744140625,119.20654296875,119.6868896484375,119.84344482421875,119.89402770996094,119.91022109985352,119.91535663604736,119.91697013378143,119.91747245192528,119.9176274612546,119.91767489351332,119.91768929176033,119.91769362939522,119.91769492684398,119.91769531232421,119.91769542612928,119.9176954595282,119.91769546927515,119.91769547210467,119.917695472922,119.917695473157,119.91769547322426,119.91769547324344,119.91769547324888,119.91769547325043,119.91769547325086,119.91769547325097,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,119.91769547325102,113.25753922325102,100.0
H = 0.06,100.0,113.330078125,117.7685546875,119.2437744140625,119.732666015625,119.89402770996094,119.94701385498047,119.9643087387085,119.96991634368896,119.9717216193676,119.97229851782322,119.97248149476945,119.9725390970707,119.97255709720775,119.97256268165074,119.97256440212368,119.97256492861197,119.97256508868531,119.97256513705338,119.97256515158213,119.9725651559217,119.97256515721092,119.97256515759197,119.97256515770405,119.97256515773688,119.97256515774644,119.97256515774922,119.97256515775001,119.97256515775024,119.97256515775031,119.97256515775032,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,119.97256515775034,113.30752609525034,100.0
H = 0.07,100.0,113.33251953125,117.7752685546875,119.2547607421875,119.74685668945312,119.91022109985352,119.9643087387085,119.98215436935425,119.9880176782608,119.9899348244071,119.99055833555758,119.99075995758176,119.99082476366311,119.99084546521772,119.99085203671711,119.9908541097102,119.99085475958054,119.99085496206646,119.99085502477996,119.99085504409052,119.99085505000306,119.99085505180349,119.99085505234886,119.99085505251324,119.99085505256252,119.99085505257725,119.99085505258162,119.9908550525829,119.99085505258329,119.9908550525834,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,119.99085505258344,113.32459528695844,100.0
H = 0.08,100.0,113.3331298828125,117.777099609375,119.25796508789062,119.75120544433594,119.91535663604736,119.96991634368896,119.9880176782608,119.9940088391304,119.99598591588438,119.99663606286049,119.99684900511056,119.99691844219342,119.99694097685278,119.99694825339247,119.99695059077567,119.99695133758905,119.99695157491388,119.99695164992346,119.9969516735035,119.99695168087663,119.99695168317004,119.99695168387973,119.99695168409824,119.9969516841652,119.9969516841856,119.9969516841918,119.99695168419368,119.99695168419424,119.99695168419441,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,119.99695168419447,113.33038674278822,100.0
H = 0.09,100.0,113.33328247070312,117.77759552001953,119.25889015197754,119.75252389907837,119.91697013378143,119.9717216193676,119.9899348244071,119.99598591588438,119.99799295794219,119.99865725520067,119.99887656507781,119.9989487518178,119.99897243216765,119.99898017139003,119.99898269054142,119.99898350703262,119.99898377048663,119.99898385510252,119.9989838821515,119.99898389075703,119.99898389348176,119.99898389434037,119.99898389460965,119.99898389469371,119.99898389471983,119.9989838947279,119.9989838947304,119.99898389473117,119.9989838947314,119.99898389473147,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,119.99898389473148,113.33234265937992,100.0
